Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logout,,,,2020-02-17 13:36:51,2020-02-17 13:36:57,5.738s,FAILED
,,,,,,,
Test Cases/Atlas Platform/Platform Navigation/Logout/Logout,,,,2020-02-17 13:36:51,2020-02-17 13:36:57,5.327s,FAILED
"click(findTestObject(""Logout/My Account""))",,,,2020-02-17 13:36:52,2020-02-17 13:36:53,1.291s,FAILED
"click(findTestObject(""Logout/li_Log Out""))",,,,2020-02-17 13:36:53,2020-02-17 13:36:54,0.492s,FAILED
actURL = getUrl(),,,,2020-02-17 13:36:54,2020-02-17 13:36:54,0.071s,FAILED
"verifyMatch(actURL, ""https://atlas-dev.gsm.auto/"", false)",,,,2020-02-17 13:36:54,2020-02-17 13:36:54,0.168s,FAILED
Start listener action : sampleAfterTestCase,,,,2020-02-17 13:36:54,2020-02-17 13:36:54,0.289s,FAILED
Video,,,,2020-02-17 13:36:57,2020-02-17 13:36:57,0.001s,PASSED
