Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Roles,,,,2020-02-17 17:15:24,2020-02-17 17:15:39,14.711s,ERROR
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Create Role/Create a Role,,,,2020-02-17 17:15:24,2020-02-17 17:15:29,4.169s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 17:15:25,2020-02-17 17:15:25,0.029s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 17:15:25,2020-02-17 17:15:26,0.871s,FAILED
"click(findTestObject(""ROLES/Roles_page/Create Role_button""))",,,,2020-02-17 17:15:26,2020-02-17 17:15:26,0.217s,FAILED
"setText(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""), findTestData(""xlsx files/Roles"").getValue(3, 1))",,,,2020-02-17 17:15:26,2020-02-17 17:15:26,0.132s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 17:15:26,2020-02-17 17:15:27,0.110s,FAILED
Video,,,,2020-02-17 17:15:29,2020-02-17 17:15:29,0.001s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Role Listing grid/Search for an Existing Role,,,,2020-02-17 17:15:29,2020-02-17 17:15:31,2.811s,ERROR
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 17:15:29,2020-02-17 17:15:29,0.019s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 17:15:29,2020-02-17 17:15:29,0.014s,NOT_RUN
"sendKeys(findTestObject(""ROLES/Roles_page/Search Box""), findTestData(""null"").getValue(3, 1) + ENTER)",,,,2020-02-17 17:15:29,2020-02-17 17:15:29,0.085s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 17:15:29,2020-02-17 17:15:29,0.071s,FAILED
Video,,,,2020-02-17 17:15:31,2020-02-17 17:15:31,0.001s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Edit Role/Edit a Role,,,,2020-02-17 17:15:31,2020-02-17 17:15:35,3.988s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 17:15:32,2020-02-17 17:15:32,0.010s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 17:15:32,2020-02-17 17:15:32,0.008s,NOT_RUN
"click(findTestObject(""ROLES/Roles_page/Hamburger/button_hamburger""))",,,,2020-02-17 17:15:32,2020-02-17 17:15:32,0.100s,FAILED
delay(1),,,,2020-02-17 17:15:32,2020-02-17 17:15:33,1.065s,PASSED
"click(findTestObject(""ROLES/Roles_page/Hamburger/a_Edit""))",,,,2020-02-17 17:15:33,2020-02-17 17:15:33,0.110s,FAILED
"click(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""))",,,,2020-02-17 17:15:33,2020-02-17 17:15:33,0.078s,FAILED
"click(findTestObject(""ROLES/Create Role/New Role_page/Clear_button""))",,,,2020-02-17 17:15:33,2020-02-17 17:15:33,0.097s,FAILED
"sendKeys(findTestObject(""ROLES/Create Role/New Role_page/input_Role Name_name""), findTestData(""xlsx files/Roles"").getValue(3, 2))",,,,2020-02-17 17:15:33,2020-02-17 17:15:33,0.092s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 17:15:33,2020-02-17 17:15:33,0.085s,FAILED
Video,,,,2020-02-17 17:15:35,2020-02-17 17:15:35,0.001s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Configuration Management/Platform Management/ROLES/Change Status/Change the status,,,,2020-02-17 17:15:35,2020-02-17 17:15:39,3.391s,FAILED
"callTestCase(findTestCase(""Atlas Platform/Configuration Management/Platform Management/ROLES/Roles Navigation""), [:], CONTINUE_ON_FAILURE)",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.008s,NOT_RUN
"click(findTestObject(""ROLES/Role_Navigation/a_ADMIN""))",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.008s,NOT_RUN
"click(findTestObject(""ROLES/Roles_page/Hamburger/button_hamburger""))",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.073s,FAILED
"click(findTestObject(""ROLES/Roles_page/Hamburger/a_Change Status""))",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.145s,FAILED
"click(findTestObject(""ROLES/Change Status/Archived""))",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.170s,FAILED
"click(findTestObject(""ROLES/Change Status/Confirm_button""))",,,,2020-02-17 17:15:36,2020-02-17 17:15:36,0.306s,FAILED
"verifyElementText(findTestObject(""ROLES/Change Status/status_archived""), findTestData(""xlsx files/Roles"").getValue(5, 2))",,,,2020-02-17 17:15:36,2020-02-17 17:15:37,0.162s,PASSED
Start listener action : sampleAfterTestCase,,,,2020-02-17 17:15:37,2020-02-17 17:15:37,0.168s,FAILED
Video,,,,2020-02-17 17:15:39,2020-02-17 17:15:39,0.001s,PASSED
