Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 80.0.3987.100,,,2020-02-17 13:35:46,2020-02-17 13:36:31,44.563s,PASSED
,,,,,,,
Test Cases/Atlas Platform/OnBoard/SwictherDBValidation/TC_100_ForSecurityURLSAcceptance,Chrome 80.0.3987.100,,,2020-02-17 13:35:47,2020-02-17 13:36:21,34.135s,PASSED
"openBrowser("""")",Chrome 80.0.3987.100,,,2020-02-17 13:35:47,2020-02-17 13:35:57,9.341s,PASSED
"navigateToUrl(""https://ec2-3-133-54-242.us-east-2.compute.amazonaws.com:9092/services/message/api/programs"")",Chrome 80.0.3987.100,,,2020-02-17 13:35:57,2020-02-17 13:35:58,1.000s,PASSED
"click(findTestObject(""LoginPage/httpAdvanceBtn""))",Chrome 80.0.3987.100,,,2020-02-17 13:35:58,2020-02-17 13:35:59,1.083s,PASSED
"click(findTestObject(""LoginPage/httpsproceedlink""))",Chrome 80.0.3987.100,,,2020-02-17 13:35:59,2020-02-17 13:36:01,2.364s,PASSED
"navigateToUrl(""https://3.19.246.255:9090/services/configuration/api/authenticate"")",Chrome 80.0.3987.100,,,2020-02-17 13:36:01,2020-02-17 13:36:05,3.828s,PASSED
"click(findTestObject(""LoginPage/httpAdvanceBtn""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:05,2020-02-17 13:36:05,0.289s,PASSED
"click(findTestObject(""LoginPage/httpsproceedlink""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:05,2020-02-17 13:36:07,1.659s,PASSED
"navigateToUrl(""https://ec2-3-133-54-242.us-east-2.compute.amazonaws.com:8080/services/data/api/data-sources?search=Repair&filters=ACTIVE&page=0&size=20&sort=accountId,DESC"")",Chrome 80.0.3987.100,,,2020-02-17 13:36:07,2020-02-17 13:36:11,3.764s,PASSED
"click(findTestObject(""LoginPage/httpAdvanceBtn""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:11,2020-02-17 13:36:11,0.357s,PASSED
"click(findTestObject(""LoginPage/httpsproceedlink""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:11,2020-02-17 13:36:13,1.739s,PASSED
"navigateToUrl(""https://3.19.246.255:9091/services/content/api/images?page=0&size=10"")",Chrome 80.0.3987.100,,,2020-02-17 13:36:13,2020-02-17 13:36:17,3.761s,PASSED
"click(findTestObject(""LoginPage/httpAdvanceBtn""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:17,2020-02-17 13:36:17,0.276s,PASSED
"click(findTestObject(""LoginPage/httpsproceedlink""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:17,2020-02-17 13:36:19,1.697s,PASSED
Start listener action : sampleAfterTestCase,Chrome 80.0.3987.100,,,2020-02-17 13:36:19,2020-02-17 13:36:19,0.112s,PASSED
,,,,,,,
Test Cases/Atlas Platform/Platform Navigation/Login/Default Logins/Default_Login_as_Root Admin,Chrome 80.0.3987.100,,,2020-02-17 13:36:21,2020-02-17 13:36:31,9.994s,PASSED
"openBrowser("""")",Chrome 80.0.3987.100,,,2020-02-17 13:36:23,2020-02-17 13:36:23,0.016s,NOT_RUN
"navigateToUrl(""https://atlas-dev.gsm.auto/"")",Chrome 80.0.3987.100,,,2020-02-17 13:36:23,2020-02-17 13:36:26,3.682s,PASSED
"setText(findTestObject(""Login_Page/Page_/email address placeholder""), Email)",Chrome 80.0.3987.100,,,2020-02-17 13:36:26,2020-02-17 13:36:27,1.105s,PASSED
"setText(findTestObject(""Login_Page/Page_/Password placeholder""), Password)",Chrome 80.0.3987.100,,,2020-02-17 13:36:27,2020-02-17 13:36:28,0.691s,PASSED
"click(findTestObject(""Login_Page/Page_/Log In button""))",Chrome 80.0.3987.100,,,2020-02-17 13:36:28,2020-02-17 13:36:28,0.441s,PASSED
dashboard_act_title = getWindowTitle(),Chrome 80.0.3987.100,,,2020-02-17 13:36:28,2020-02-17 13:36:29,0.056s,PASSED
"verifyEqual(dashboard_act_title, dashboard_exp_title)",Chrome 80.0.3987.100,,,2020-02-17 13:36:29,2020-02-17 13:36:29,0.056s,PASSED
Start listener action : sampleAfterTestCase,Chrome 80.0.3987.100,,,2020-02-17 13:36:29,2020-02-17 13:36:29,0.058s,PASSED
